Order Number,Item Name,Item #,Quantity,Item Cost
767,Yerba mate set compleet,1,1,38.0
766,Bombilla,1,1,8.0
765,Yerba mate set compleet,1,1,38.0
764,Yerba mate set,1,1,-2.0
764,Bombilla,2,1,8.0
764,Yerba mate,3,1,8.0
764,Kalebas,4,1,15.0
763,Yerba mate set,1,1,-2.0
763,Bombilla,2,1,8.0
763,Yerba mate,3,1,8.0
763,Kalebas,4,1,15.0
762,Yerba mate set,1,1,-2.0
762,Bombilla,2,1,9.0
762,Yerba mate,3,1,9.0
762,Kalebas,4,1,16.0
761,Yerba mate set,1,1,-2.0
761,Bombilla,2,1,8.0
761,Yerba mate,3,1,8.0
761,Kalebas,4,1,15.0
760,Yerba mate set,1,1,-2.0
760,Bombilla,2,1,8.0
760,Yerba mate,3,1,8.0
760,Kalebas,4,1,15.0
759,Yerba mate set,1,1,-2.0
759,Bombilla,2,1,8.0
759,Yerba mate,3,1,8.0
759,Kalebas,4,1,15.0
759,Yerba mate,5,1,8.0
758,Yerba mate set,1,1,-2.0
758,Bombilla,2,1,8.0
758,Yerba mate,3,1,8.0
758,Kalebas,4,1,15.0
757,Bombilla,1,1,8.0
756,Yerba mate set,1,1,-2.0
756,Bombilla,2,1,8.0
756,Yerba mate,3,1,8.0
756,Kalebas,4,1,15.0
755,Yerba mate set,1,2,-2.0
755,Bombilla,2,2,8.0
755,Yerba mate,3,2,8.0
755,Kalebas,4,2,15.0
753,Yerba mate set,1,1,-2.0
753,Bombilla,2,1,8.0
753,Yerba mate,3,1,8.0
753,Kalebas,4,1,15.0
752,Yerba mate set,1,1,-2.0
752,Bombilla,2,1,8.0
752,Yerba mate,3,1,8.0
752,Kalebas,4,1,15.0
752,Yerba mate,5,1,8.0
751,Yerba mate set,1,1,-2.0
751,Bombilla,2,1,8.0
751,Yerba mate,3,1,8.0
751,Kalebas,4,1,15.0
750,Yerba mate set,1,1,-2.0
750,Bombilla,2,1,8.0
750,Yerba mate,3,1,8.0
750,Kalebas,4,1,15.0
750,Yerba mate,5,1,8.0
749,Kalebas,1,1,15.0
749,Yerba mate,2,1,8.0
749,Bombilla,3,1,8.0
748,Yerba mate set,1,1,-2.0
748,Bombilla,2,1,8.0
748,Yerba mate,3,1,8.0
748,Kalebas,4,1,15.0
746,Yerba mate set,1,1,-2.0
746,Bombilla,2,1,8.0
746,Yerba mate,3,1,8.0
746,Kalebas,4,1,15.0
746,Yerba mate,5,1,8.0
745,Yerba mate set,1,1,-2.0
745,Bombilla,2,1,8.0
745,Yerba mate,3,1,8.0
745,Kalebas,4,1,15.0
744,Yerba mate,1,1,8.0
744,Bombilla,2,1,8.0
743,Yerba mate set,1,1,-2.0
743,Bombilla,2,1,8.0
743,Yerba mate,3,1,8.0
