order_number,quantity,item_set,items
856,4,0,"bombilla, yerba mate, kalebas"
857,3,0,"bombilla, yerba mate, kalebas"
858,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
860,4,0,"bombilla, yerba mate, kalebas"
861,3,0,"bombilla, yerba mate, kalebas"
862,3,0,"bombilla, yerba mate, kalebas"
863,6,0,"bombilla, yerba mate, kalebas"
864,4,0,"yerba mate, bombilla, kalebas"
865,3,0,"bombilla, yerba mate, kalebas"
866,1,0,"yerba mate 100 gram, bombilla, kalebas (kopie)"
871,3,0,"yerba mate - yerba mate 100 gram, bombilla, kalebas"
872,6,0,"yerba mate - yerba mate 500 gram, bombilla, kalebas, mateology - the drink beyond a drink"
873,6,0,"yerba mate - yerba mate 500 gram, bombilla, kalebas, mateology - the drink beyond a drink"
874,3,0,"yerba mate - yerba mate 500 gram, bombilla, kalebas"
875,3,0,"yerba mate - yerba mate 100 gram, bombilla, kalebas"
876,1,0,yerba mate - yerba mate 500 gram
877,3,0,"yerba mate - yerba mate 500 gram, bombilla, kalebas"
878,1,0,kalebas
879,3,0,"yerba mate - yerba mate 100 gram, bombilla, kalebas"
880,3,0,"yerba mate - yerba mate 100 gram, bombilla, kalebas"
881,3,0,"yerba mate - yerba mate 500 gram, bombilla, kalebas"
883,3,0,kalebas
884,3,0,"yerba mate - yerba mate 500 gram, bombilla, kalebas"
885,3,0,"yerba mate - yerba mate 100 gram, bombilla, kalebas"
886,3,0,"kalebas, yerba mate - yerba mate 100 gram, bombilla"
887,6,0,"bombilla, yerba mate - yerba mate 100 gram"
888,3,0,"yerba mate - yerba mate 100 gram, bombilla, kalebas"
889,2,0,"kalebas, yerba mate - yerba mate 100 gram"
890,3,0,"yerba mate, bombilla, kalebas"
892,3,0,"yerba mate, bombilla, kalebas"
893,3,0,"yerba mate 500 gram, bombilla, kalebas"
894,6,0,"yerba mate 500 gram, bombilla, kalebas, cadeauverpakking"
895,2,0,"kalebas, bombilla"
896,3,0,"yerba mate 500 gram, bombilla, kalebas"
897,6,0,"yerba mate 100 gram, bombilla, kalebas"
898,3,0,"yerba mate 100 gram, bombilla, kalebas"
899,3,0,"yerba mate 500 gram, bombilla, kalebas"
900,3,0,"yerba mate 500 gram, bombilla, kalebas"
901,3,0,"yerba mate 100 gram, bombilla, kalebas"
902,3,0,"yerba mate 100 gram, bombilla, kalebas"
