,ITEM TYPE,ITEM CODE,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS
,,,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum
124,BEER,10928,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,BEER,10931,122.0,340.93,213.32555555555555,1919.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,BEER,10932,33.0,63.0,48.55555555555556,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,BEER,10934,15.0,37.0,21.666666666666668,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,BEER,10935,3.0,8.0,5.166666666666667,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,BEER,10936,11.0,32.0,18.666666666666668,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,BEER,10937,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0
131,BEER,10938,1.0,22.0,11.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,BEER,10939,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,BEER,10940,12.0,33.75,22.416666666666668,201.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,BEER,10941,2.0,9.0,4.888888888888889,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,BEER,10984,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,BEER,10987,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,BEER,10994,0.0,7.0,3.6,36.0,0.0,4.0,2.099,20.990000000000002,0.0,5.0,2.9,29.0
138,BEER,10995,4.0,31.0,22.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,BEER,11014,8.0,27.0,17.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,BEER,11015,0.0,6.0,3.0,15.0,0.0,1.0,0.2,1.0,0.0,2.0,0.4,2.0
141,BEER,11027,31.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,BEER,11034,1.0,2.0,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,BEER,11039,1.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,BEER,11042,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,BEER,11044,1.0,2.0,1.3333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,BEER,11045,1.0,2.0,1.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,BEER,11047,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,BEER,11054,4.0,9.0,6.34375,50.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,BEER,11055,5.0,12.0,9.083333333333334,81.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,BEER,11056,9.0,29.0,17.444444444444443,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,BEER,11057,2.75,14.0,8.63888888888889,77.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,BEER,11061,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,BEER,11062,2.0,13.0,6.0,54.0,0.0,0.75,0.08333333333333333,0.75,0.0,2.0,0.2222222222222222,2.0
154,BEER,11072,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,BEER,11073,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
